object_id,area_px,perimeter_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,equivalent_diameter_px,major_axis_px,minor_axis_px,orientation_deg,aspect_ratio,circularity,solidity,extent,touches_border
1,1480,150.95,272.39,120.29,248,99,46,43,43.41,45.52,40.48,52.2,1.124,0.816,0.992,0.748,0
2,1031,116.57,336.08,124.46,319,107,36,36,36.23,35.62,35.1,43.6,1.015,0.953,1.037,0.796,0
3,794,123.3,206.68,125.99,189,108,35,34,31.8,36.22,28.99,54.9,1.25,0.656,0.906,0.667,0
4,825,106.67,153.58,127.44,136,113,35,30,32.41,34.0,29.29,86.5,1.161,0.911,1.031,0.786,0
5,211,108.23,105.96,132.57,88,116,31,25,16.39,30.56,25.17,70.9,1.214,0.226,0.485,0.272,0
6,2539,190.99,345.9,184.89,317,158,60,56,56.86,59.32,53.1,71.7,1.117,0.875,1.007,0.756,0
7,1513,144.23,212.47,193.23,191,172,44,43,43.89,43.79,42.21,95.2,1.038,0.914,1.024,0.8,0
8,1339,136.23,273.87,193.81,253,174,42,41,41.29,43.15,38.06,127.0,1.134,0.907,1.023,0.778,0
9,1233,129.74,101.83,195.56,82,177,40,38,39.62,39.37,38.08,91.9,1.034,0.921,1.028,0.811,0
10,977,114.91,154.13,197.74,137,181,36,34,35.27,35.09,33.69,87.0,1.042,0.93,1.033,0.798,0
11,467,130.37,45.4,198.21,28,182,33,30,24.38,29.31,26.4,95.0,1.11,0.345,0.729,0.472,0
12,771,155.1,58.41,254.72,37,236,36,49,31.33,46.11,36.04,172.7,1.28,0.403,0.675,0.437,0
13,2060,169.2,172.47,261.04,145,238,55,48,51.21,53.73,47.09,92.0,1.141,0.904,1.017,0.78,0
14,1670,152.47,300.5,263.15,277,241,47,45,46.11,47.77,42.79,58.3,1.116,0.903,1.018,0.79,0
15,1553,145.78,243.79,263.24,221,242,47,44,44.47,45.13,42.24,65.7,1.068,0.918,1.022,0.751,0
16,1199,127.4,113.94,265.62,94,247,40,38,39.07,38.99,37.4,109.6,1.043,0.928,1.028,0.789,0
17,1192,129.05,358.15,268.07,338,250,43,37,38.96,40.88,35.46,91.1,1.153,0.899,1.018,0.749,0
