object_id,area_px,perimeter_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,equivalent_diameter_px,major_axis_px,minor_axis_px,orientation_deg,aspect_ratio,circularity,solidity,extent,touches_border
1,19015,804.24,430.13,114.3,310,32,229,165,155.6,214.97,138.51,57.9,1.552,0.369,0.752,0.503,0
2,5291,314.63,653.07,95.16,602,54,115,75,82.08,124.34,55.07,116.8,2.258,0.672,1.004,0.613,0
3,5823,378.92,250.94,136.0,189,98,128,74,86.11,127.61,60.41,104.2,2.112,0.51,0.916,0.615,0
4,535,142.38,893.1,164.94,888,136,10,67,26.1,77.27,9.39,178.5,8.225,0.332,1.111,0.799,0
5,9301,377.61,714.79,238.04,663,178,99,127,108.82,127.6,93.87,168.8,1.359,0.82,0.983,0.74,0
6,7042,379.91,259.49,217.15,187,187,158,65,94.69,155.05,58.41,80.1,2.655,0.613,1.003,0.686,0
7,69329,2203.96,634.26,344.53,349,191,524,331,297.11,499.22,283.41,105.2,1.762,0.179,0.575,0.4,0
8,16480,670.26,80.67,320.07,2,221,151,187,144.86,205.52,120.72,31.5,1.702,0.461,0.821,0.584,0
9,5701,328.63,241.52,375.94,193,320,86,106,85.2,118.11,65.14,28.6,1.813,0.663,0.933,0.625,0
10,1089,137.6,885.69,395.59,870,371,28,51,37.24,52.7,28.4,179.9,1.856,0.723,1.028,0.763,0
11,6488,377.91,370.1,428.11,297,398,157,65,90.89,163.45,51.29,77.3,3.187,0.571,1.0,0.636,0
12,875,138.33,10.18,485.77,2,457,22,60,33.38,60.39,21.86,1.4,2.763,0.575,1.055,0.663,0
