image,study,setting,iou,precision,recall,f1,pred_count,time_s
seeds_sunflower_01,K,2,0.9888,0.9996,0.9892,0.9944,7,0.324
seeds_sunflower_01,K,3,0.9388,0.9389,0.9999,0.9684,7,1.049
seeds_sunflower_01,K,4,0.8797,0.8797,1.0,0.936,7,1.497
seeds_sunflower_01,K,5,0.843,0.843,1.0,0.9148,6,1.807
seeds_sunflower_01,K,6,0.8245,0.8245,1.0,0.9038,6,2.422
seeds_sunflower_01,features,intensity,0.9388,0.9389,0.9999,0.9684,7,1.223
seeds_sunflower_01,features,lab,0.9374,0.9376,0.9997,0.9677,7,5.747
seeds_sunflower_01,features,lab_xy,0.9651,0.9947,0.9701,0.9823,7,11.04
coins_greek_07,K,2,0.5852,0.9222,0.6156,0.7383,18,0.128
coins_greek_07,K,3,0.6763,0.8974,0.7329,0.8069,18,0.11
coins_greek_07,K,4,0.7902,0.8539,0.9137,0.8828,22,0.255
coins_greek_07,K,5,0.7441,0.7598,0.973,0.8533,17,0.271
coins_greek_07,K,6,0.7902,0.8539,0.9137,0.8828,22,0.605
coins_greek_07,features,intensity,0.6763,0.8974,0.7329,0.8069,18,0.148
coins_greek_07,features,lab,0.8013,0.9393,0.845,0.8897,24,0.637
coins_greek_07,features,lab_xy,0.8034,0.9398,0.847,0.891,24,1.123
beans_coffee_06,K,2,0.9623,0.9718,0.99,0.9808,2,0.403
beans_coffee_06,K,3,0.9452,0.9494,0.9953,0.9718,3,1.617
beans_coffee_06,K,4,0.9222,0.9233,0.9986,0.9595,4,3.622
beans_coffee_06,K,5,0.914,0.915,0.9988,0.9551,3,1.471
beans_coffee_06,K,6,0.9027,0.9035,0.999,0.9489,2,1.508
beans_coffee_06,features,intensity,0.9452,0.9494,0.9953,0.9718,3,1.893
beans_coffee_06,features,lab,0.901,0.9017,0.999,0.9479,2,13.292
beans_coffee_06,features,lab_xy,0.9586,0.9609,0.9976,0.9789,2,7.304
