image,expected,marker_ratio,count_without_split,count_with_split
beans_coffee_06,5,0.25,2,3
beans_coffee_06,5,0.35,2,3
beans_coffee_06,5,0.45,2,3
beans_coffee_06,5,0.55,2,3
beans_coffee_06,5,0.65,2,4
coins_greek_07,24,0.25,18,17
coins_greek_07,24,0.35,18,17
coins_greek_07,24,0.45,18,16
coins_greek_07,24,0.55,18,16
coins_greek_07,24,0.65,18,16
beans_cowpea_scale_05,8,0.25,9,9
beans_cowpea_scale_05,8,0.35,9,9
beans_cowpea_scale_05,8,0.45,9,8
beans_cowpea_scale_05,8,0.55,9,8
beans_cowpea_scale_05,8,0.65,9,8
seeds_sunflower_01,,0.25,7,11
seeds_sunflower_01,,0.35,7,10
seeds_sunflower_01,,0.45,7,13
seeds_sunflower_01,,0.55,7,12
seeds_sunflower_01,,0.65,7,16
