window_set,window_sizes,step_px,windows_evaluated,seconds_per_image,best_threshold,true_positives,false_positives,missed_detections,precision,recall,f1
3 window sizes (0.6 / 1.0 / 1.6),3,2,1678335,36.156,0.55,5,0,0,1.0,1.0,1.0
3 window sizes (0.6 / 1.0 / 1.6),3,4,420960,9.291,0.55,4,0,1,1.0,0.8,0.8889
3 window sizes (0.6 / 1.0 / 1.6),3,8,105940,2.38,0.5,3,0,2,1.0,0.6,0.75
3 window sizes (0.6 / 1.0 / 1.6),3,16,26730,0.587,0.5,0,0,5,0.0,0.0,0.0
3 window sizes (0.6 / 1.0 / 1.6),3,24,12030,0.273,0.5,1,0,4,1.0,0.2,0.3333
5 window sizes (0.6 to 1.8),5,2,2756435,60.808,0.55,5,0,0,1.0,1.0,1.0
5 window sizes (0.6 to 1.8),5,4,691545,13.695,0.55,4,0,1,1.0,0.8,0.8889
5 window sizes (0.6 to 1.8),5,8,173890,4.042,0.5,3,0,2,1.0,0.6,0.75
5 window sizes (0.6 to 1.8),5,16,44195,1.052,0.5,0,0,5,0.0,0.0,0.0
5 window sizes (0.6 to 1.8),5,24,19695,0.468,0.5,1,0,4,1.0,0.2,0.3333
1 window size (1.0),1,2,569395,7.012,0.5,4,0,1,1.0,0.8,0.8889
1 window size (1.0),1,4,143220,1.802,0.5,4,0,1,1.0,0.8,0.8889
1 window size (1.0),1,8,35970,0.475,0.5,3,0,2,1.0,0.6,0.75
1 window size (1.0),1,16,9075,0.106,0.5,0,0,5,0.0,0.0,0.0
1 window size (1.0),1,24,4070,0.048,0.5,1,0,4,1.0,0.2,0.3333
