lowe_ratio,min_inliers,true_positives,false_positives,missed_detections,precision,recall,f1,seconds_per_image
0.7,8,18,8,3,0.6923,0.8571,0.766,0.149
0.7,10,18,5,3,0.7826,0.8571,0.8182,0.148
0.7,12,17,0,4,1.0,0.8095,0.8947,0.146
0.7,15,16,0,5,1.0,0.7619,0.8649,0.148
0.7,20,7,0,14,1.0,0.3333,0.5,0.143
0.75,8,18,9,3,0.6667,0.8571,0.75,0.149
0.75,10,18,5,3,0.7826,0.8571,0.8182,0.148
0.75,12,18,4,3,0.8182,0.8571,0.8372,0.146
0.75,15,16,0,5,1.0,0.7619,0.8649,0.15
0.75,20,11,0,10,1.0,0.5238,0.6875,0.154
0.8,8,19,11,2,0.6333,0.9048,0.7451,0.16
0.8,10,19,8,2,0.7037,0.9048,0.7917,0.161
0.8,12,18,4,3,0.8182,0.8571,0.8372,0.183
0.8,15,17,0,4,1.0,0.8095,0.8947,0.17
0.8,20,14,0,7,1.0,0.6667,0.8,0.159
