image,condition,split,iou,precision,recall,f1,boundary_error_px,boundaries_found,seconds
curve_01,curve,tuning,0.8185,0.8371,0.9737,0.9002,59.9723,1,0.6013
curve_02,curve,held out,0.6266,0.6674,0.9111,0.7704,155.5583,2,0.8270
daylight_01,daylight,tuning,0.7753,0.8193,0.9353,0.8735,nan,0,1.0298
daylight_02,daylight,held out,0.7806,0.8929,0.8613,0.8768,88.8454,2,0.6196
lowlight_01,poor_illumination,tuning,0.5818,0.7098,0.7633,0.7356,69.7467,2,0.4382
lowlight_02,poor_illumination,held out,0.3530,0.3747,0.8592,0.5218,77.7011,2,0.5448
occlusion_01,occlusion,tuning,0.6865,0.9687,0.7021,0.8141,36.6815,1,0.5881
occlusion_02,occlusion,held out,0.4084,0.8830,0.4318,0.5800,298.0764,2,0.5914
shadow_01,shadows,tuning,0.7345,0.7625,0.9524,0.8469,101.9691,2,0.3804
shadow_02,shadows,held out,0.6115,0.7772,0.7414,0.7589,166.2354,2,0.6921
worn_01,worn_markings,tuning,0.6623,0.7401,0.8631,0.7969,82.4541,2,0.6633
worn_02,worn_markings,held out,0.8041,0.9692,0.8252,0.8914,33.3484,2,0.4944
