object_id,area_px,perimeter_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,equivalent_diameter_px,major_axis_px,minor_axis_px,orientation_deg,aspect_ratio,circularity,solidity,extent,touches_border
1,11561,773.31,338.37,274.2,293,109,142,283,121.33,266.69,107.52,163.9,2.48,0.243,0.559,0.288,0
2,6296,698.47,184.41,237.63,122,127,136,252,89.53,270.65,39.9,153.0,6.784,0.162,0.722,0.184,0
3,1445,306.55,738.04,171.25,720,137,34,94,42.89,93.21,26.38,175.0,3.534,0.193,0.667,0.452,0
4,3015,380.05,780.61,205.63,759,140,42,154,61.96,172.92,31.24,178.8,5.535,0.262,0.783,0.466,0
5,8612,910.52,705.97,315.2,651,157,131,237,104.71,204.45,111.14,0.2,1.84,0.131,0.473,0.277,0
6,313,92.04,48.66,202.03,44,184,12,39,19.96,41.74,9.84,3.8,4.24,0.464,0.925,0.669,0
7,770,143.05,659.6,219.5,649,190,24,50,31.31,52.26,22.21,7.3,2.353,0.473,0.848,0.642,0
8,225,69.25,135.57,211.84,127,200,17,25,16.93,23.25,13.06,169.4,1.781,0.59,0.864,0.529,0
9,4152,552.08,110.51,325.12,48,223,165,187,72.71,215.58,52.05,136.7,4.142,0.171,0.576,0.135,0
10,742,202.33,742.65,277.78,730,234,24,64,30.74,78.39,20.38,1.1,3.847,0.228,0.678,0.483,0
11,1538,308.96,173.42,335.75,133,284,86,97,44.25,121.2,20.3,136.6,5.971,0.202,0.652,0.184,0
12,522,94.87,738.46,310.6,725,299,27,24,25.78,27.47,24.7,95.0,1.112,0.729,0.985,0.806,0
