base,image,condition,method,iou,f1,precision,recall,pred_count,time_s
seeds_sunflower_01,seeds_sunflower_01,original photograph,Thresholding (Otsu),0.9888,0.9944,0.9996,0.9892,7,0.017
seeds_sunflower_01,seeds_sunflower_01,original photograph,Region growing (tol 25),0.3528,0.5216,1.0,0.3528,13,0.818
seeds_sunflower_01,seeds_sunflower_01,original photograph,"K means (K = 3, Lab)",0.9374,0.9677,0.9376,0.9997,7,3.66
seeds_sunflower_01,seeds_sunflower_01_illum,Strong lighting gradient,Thresholding (Otsu),0.9798,0.9898,0.9991,0.9807,7,0.031
seeds_sunflower_01,seeds_sunflower_01_illum,Strong lighting gradient,Region growing (tol 25),0.4588,0.6291,0.9736,0.4646,7,1.232
seeds_sunflower_01,seeds_sunflower_01_illum,Strong lighting gradient,"K means (K = 3, Lab)",0.8576,0.9233,0.9839,0.8698,9,3.165
seeds_sunflower_01,seeds_sunflower_01_dim,"Under exposed, low contrast",Thresholding (Otsu),0.9863,0.9931,0.9996,0.9867,7,0.032
seeds_sunflower_01,seeds_sunflower_01_dim,"Under exposed, low contrast",Region growing (tol 25),0.4105,0.5821,1.0,0.4105,12,0.953
seeds_sunflower_01,seeds_sunflower_01_dim,"Under exposed, low contrast","K means (K = 3, Lab)",0.9325,0.9651,0.9327,0.9998,7,3.601
seeds_sunflower_01,seeds_sunflower_01_noise,Additive Gaussian sensor noise,Thresholding (Otsu),0.9829,0.9914,0.9996,0.9832,7,0.036
seeds_sunflower_01,seeds_sunflower_01_noise,Additive Gaussian sensor noise,Region growing (tol 25),0.4379,0.609,0.9762,0.4426,10,1.2
seeds_sunflower_01,seeds_sunflower_01_noise,Additive Gaussian sensor noise,"K means (K = 3, Lab)",0.9513,0.975,0.9517,0.9995,7,5.81
seeds_sunflower_01,seeds_sunflower_01_blur,Defocus blur,Thresholding (Otsu),0.9847,0.9923,0.9988,0.9859,7,0.018
seeds_sunflower_01,seeds_sunflower_01_blur,Defocus blur,Region growing (tol 25),0.2134,0.3518,1.0,0.2134,7,0.671
seeds_sunflower_01,seeds_sunflower_01_blur,Defocus blur,"K means (K = 3, Lab)",0.9293,0.9633,0.9293,1.0,7,5.849
coins_greek_07,coins_greek_07,original photograph,Thresholding (Otsu),0.5935,0.7449,0.9219,0.625,18,0.016
coins_greek_07,coins_greek_07,original photograph,Region growing (tol 25),0.6434,0.783,0.9518,0.6651,18,0.452
coins_greek_07,coins_greek_07,original photograph,"K means (K = 3, Lab)",0.8013,0.8897,0.9393,0.845,24,1.2
coins_greek_07,coins_greek_07_illum,Strong lighting gradient,Thresholding (Otsu),0.61,0.7578,0.9235,0.6425,18,0.021
coins_greek_07,coins_greek_07_illum,Strong lighting gradient,Region growing (tol 25),0.6597,0.795,0.9506,0.6831,19,0.44
coins_greek_07,coins_greek_07_illum,Strong lighting gradient,"K means (K = 3, Lab)",0.8298,0.907,0.8594,0.9601,22,0.923
coins_greek_07,coins_greek_07_noise,Additive Gaussian sensor noise,Thresholding (Otsu),0.555,0.7139,0.9224,0.5822,15,0.012
coins_greek_07,coins_greek_07_noise,Additive Gaussian sensor noise,Region growing (tol 25),0.6449,0.7841,0.9461,0.6695,18,0.434
coins_greek_07,coins_greek_07_noise,Additive Gaussian sensor noise,"K means (K = 3, Lab)",0.782,0.8776,0.942,0.8215,24,1.593
