image,title,method,iou,precision,recall,f1,dice,time_s,pred_count,gt_count,count_error,obj_precision,obj_recall,obj_f1
seeds_sunflower_01,"Sunflower seeds, scattered",Thresholding (Otsu),0.9888,0.9996,0.9892,0.9944,0.9944,0.037,7,,,,,
seeds_sunflower_01,"Sunflower seeds, scattered",Region growing (tol 25),0.3528,1.0,0.3528,0.5216,0.5216,1.037,13,,,,,
seeds_sunflower_01,"Sunflower seeds, scattered","K means (K = 3, Lab)",0.9374,0.9376,0.9997,0.9677,0.9677,4.991,7,,,,,
seeds_pale_04,Pale sunflower seeds of three sizes,Thresholding (Otsu),0.1743,0.5756,0.2,0.2968,0.2968,0.031,6,3,3,0.0,0.0,0.0
seeds_pale_04,Pale sunflower seeds of three sizes,Region growing (tol 25),0.311,0.311,1.0,0.4745,0.4745,5.151,1,3,-2,0.0,0.0,0.0
seeds_pale_04,Pale sunflower seeds of three sizes,"K means (K = 3, Lab)",0.6076,0.7434,0.7689,0.7559,0.7559,2.205,4,3,1,0.75,1.0,0.8571
beans_cowpea_scale_05,Cowpea seeds photographed with a centimetre scale,Thresholding (Otsu),0.8285,0.8285,1.0,0.9062,0.9062,0.042,9,8,1,0.8889,1.0,0.9412
beans_cowpea_scale_05,Cowpea seeds photographed with a centimetre scale,Region growing (tol 25),0.1122,0.1122,1.0,0.2018,0.2018,8.226,1,8,-7,0.0,0.0,0.0
beans_cowpea_scale_05,Cowpea seeds photographed with a centimetre scale,"K means (K = 3, Lab)",0.8279,0.8279,1.0,0.9059,0.9059,15.35,9,8,1,0.8889,1.0,0.9412
beans_coffee_06,Roasted coffee beans with cast shadows,Thresholding (Otsu),0.9623,0.9718,0.99,0.9808,0.9808,0.038,2,5,-3,0.5,0.2,0.2857
beans_coffee_06,Roasted coffee beans with cast shadows,Region growing (tol 25),0.4067,0.9965,0.4072,0.5782,0.5782,0.934,2,5,-3,1.0,0.4,0.5714
beans_coffee_06,Roasted coffee beans with cast shadows,"K means (K = 3, Lab)",0.901,0.9017,0.999,0.9479,0.9479,11.972,2,5,-3,0.5,0.2,0.2857
coins_greek_07,Twenty four Greek coins,Thresholding (Otsu),0.5935,0.9219,0.625,0.7449,0.7449,0.012,18,24,-6,0.8333,0.625,0.7143
coins_greek_07,Twenty four Greek coins,Region growing (tol 25),0.6434,0.9518,0.6651,0.783,0.783,0.362,18,24,-6,1.0,0.75,0.8571
coins_greek_07,Twenty four Greek coins,"K means (K = 3, Lab)",0.8013,0.9393,0.845,0.8897,0.8897,1.093,24,24,0,0.9167,0.9167,0.9167
