image,study,setting,n_seeds,iou,precision,recall,f1,pred_count,time_s
seeds_sunflower_01,tolerance,6,7,0.0446,1.0,0.0446,0.0854,5,0.115
seeds_sunflower_01,tolerance,10,7,0.077,1.0,0.077,0.1429,6,0.162
seeds_sunflower_01,tolerance,14,7,0.101,1.0,0.101,0.1835,7,0.197
seeds_sunflower_01,tolerance,18,7,0.1284,1.0,0.1284,0.2275,10,0.221
seeds_sunflower_01,tolerance,25,7,0.3528,1.0,0.3528,0.5216,13,0.786
seeds_sunflower_01,tolerance,35,7,0.2367,1.0,0.2367,0.3828,7,0.575
seeds_sunflower_01,tolerance,50,7,0.7056,1.0,0.7056,0.8274,7,1.96
seeds_sunflower_01,seed_strategy,distance,7,0.3528,1.0,0.3528,0.5216,13,0.843
seeds_sunflower_01,seed_strategy,grid,14,0.569,1.0,0.569,0.7253,4,1.41
seeds_sunflower_01,seed_strategy,random,40,0.7544,0.998,0.7555,0.86,6,1.553
seeds_sunflower_01,criterion,running_mean,7,0.3528,1.0,0.3528,0.5216,13,0.459
seeds_sunflower_01,criterion,seed_value,7,0.2204,1.0,0.2204,0.3612,16,0.327
coins_greek_07,tolerance,6,18,0.0976,0.9975,0.0977,0.1779,7,0.076
coins_greek_07,tolerance,10,18,0.2989,0.9876,0.3,0.4602,15,0.11
coins_greek_07,tolerance,14,18,0.4103,0.9786,0.4141,0.5819,17,0.14
coins_greek_07,tolerance,18,18,0.496,0.9697,0.5038,0.6631,18,0.22
coins_greek_07,tolerance,25,18,0.6434,0.9518,0.6651,0.783,18,0.393
coins_greek_07,tolerance,35,18,0.3197,0.3197,1.0,0.4846,1,1.741
coins_greek_07,tolerance,50,18,0.3197,0.3197,1.0,0.4846,1,1.795
coins_greek_07,seed_strategy,distance,18,0.6434,0.9518,0.6651,0.783,18,0.21
coins_greek_07,seed_strategy,grid,5,0.1404,0.9679,0.141,0.2462,5,0.05
coins_greek_07,seed_strategy,random,40,0.5427,0.9516,0.5581,0.7036,15,0.173
coins_greek_07,criterion,running_mean,18,0.6434,0.9518,0.6651,0.783,18,0.241
coins_greek_07,criterion,seed_value,18,0.5544,0.9572,0.5684,0.7133,18,0.201
